random id,age,gender,race,rank,years,employed,base_salary,bonus_comp,Total_Salary,region,areatype,major_procedures,satisfied_position,satisfied_salary
119,4,1,1,3,3,2,350000,30000,380000,1,2,Nil,Nil,Nil
206,5,1,1,2,4,2,430000,0,430000,6,1,1,83,83
1,5,1,1,2,3,2,225000,25000,250000,1,2,1,50,41
94,5,1,1,2,4,2,315000,7000,322000,2,1,0,80,43
17,5,1,1,2,4,2,500000,0,500000,1,1,1,80,76
266,5,1,1,2,4,2,425000,5000,430000,6,1,0,92,75
269,5,2,1,4,4,2,210000,Nil,210000,5,1,0,65,26
201,5,1,1,2,4,2,200000,10000,210000,7,1,0,87,30
65,5,1,2,3,3,2,220000,400000,620000,1,2,1,92,96
315,6,1,1,3,4,2,430000,0,430000,4,1,0,69,90
219,6,2,1,2,4,2,225000,Nil,225000,2,1,0,53,4
63,6,2,1,3,4,2,250000,2000,252000,1,1,0,79,51
141,6,1,1,5,4,2,Nil,350000,350000,1,2,1,14,0
62,7,1,2,2,4,2,200000,205000,405000,1,2,0,100,100
136,7,1,1,2,4,2,500000,50000,550000,6,1,1,84,53
153,7,1,1,1,4,2,415000,0,415000,1,1,1,82,94
